seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
30008217,2,8161.0,2856.35,5,30,98,68,2701.0,6,learned ACO restart 1,8.938,ok,
30008216,4,14836.0,5192.6,5,30,86,59,5178.0,9,learned ACO restart 1,12.282,ok,
30008218,3,8529.0,2985.15,5,30,70,48,2884.0,6,learned ACO restart 1,9.418,ok,
30008219,4,17914.0,6269.9,5,30,81,65,6145.0,9,learned ACO restart 1,10.81,ok,
30008220,2,7629.0,2670.15,5,30,92,68,2641.0,6,learned ACO restart 1,11.629,ok,
30008221,3,5635.0,1972.25,5,30,90,51,1921.0,6,learned ACO restart 1,12.309,ok,
30008222,4,14017.0,4905.95,5,30,96,67,4764.0,8,learned ACO restart 1,12.94,ok,
30008223,2,7020.0,2457.0,5,30,96,70,2332.0,7,learned ACO restart 1,12.109,ok,
30008224,3,6422.0,2247.7,5,30,86,61,2175.0,7,learned ACO restart 1,11.837,ok,
30008226,2,7857.0,2749.95,5,30,102,66,2686.0,7,learned ACO restart 1,10.451,ok,
30008225,4,12859.0,4500.65,5,30,97,66,4432.0,7,learned ACO restart 3,12.327,ok,
30008227,3,14972.0,5240.2,5,30,79,54,5190.0,10,learned ACO restart 1,11.018,ok,
30008228,4,12087.0,4230.45,5,30,101,77,4116.0,7,learned ACO restart 1,11.635,ok,
30008230,3,7491.0,2621.85,5,30,96,71,2597.0,7,learned ACO restart 1,10.612,ok,
30008232,2,7316.0,2560.6,5,30,86,51,2528.0,5,learned ACO restart 2,9.617,ok,
30008229,2,7241.0,2534.35,5,30,93,62,2485.0,7,learned ACO restart 2,12.208,ok,
30008231,4,14599.0,5109.65,5,30,101,83,4896.0,9,learned ACO restart 1,11.015,ok,
30008234,4,16719.0,5851.65,5,30,95,64,5772.0,6,learned ACO restart 3,10.861,ok,
30008233,3,9927.0,3474.45,5,30,90,61,3362.0,8,learned ACO restart 1,12.782,ok,
30008235,2,6689.0,2341.15,5,30,95,62,2308.0,7,learned ACO restart 1,10.104,ok,
30008236,3,8935.0,3127.25,5,30,86,61,2997.0,9,learned ACO restart 3,11.57,ok,
