seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
24093266,4,9876.0,5925.6,5,30,77,68,5786.0,9,learned ACO restart 3,14.26,ok,
24093269,4,11867.0,7120.2,5,30,87,78,6883.0,10,learned ACO restart 1,13.062,ok,
24093271,3,7947.0,4768.2,5,30,99,80,4631.0,9,learned ACO restart 1,11.683,ok,
24093272,4,10649.0,6389.4,5,30,92,79,6330.0,10,learned ACO restart 2,13.853,ok,
24093273,2,8073.0,4843.8,5,30,96,80,4634.0,9,learned ACO restart 1,11.033,ok,
24093276,2,7190.0,4314.0,5,30,107,92,4240.0,11,learned ACO restart 1,11.402,ok,
24093275,4,18315.0,10989.0,5,30,79,72,10904.0,11,learned ACO restart 1,12.106,ok,
24093274,3,14743.0,8845.8,5,30,83,75,8447.0,13,learned ACO restart 1,13.052,ok,
24093278,4,11142.0,6685.2,5,30,81,71,6499.0,9,learned ACO restart 1,10.94,ok,
24093277,3,7321.0,4392.6,5,30,92,78,4222.0,10,learned ACO restart 1,12.335,ok,
24093279,2,6392.0,3835.2,5,30,84,75,3763.0,12,learned ACO restart 1,12.378,ok,
24093280,3,12023.0,7213.8,5,30,92,83,7213.0,13,learned ACO restart 1 + swap search,11.264,ok,
24093281,4,13772.0,8263.2,5,30,89,83,7665.0,9,learned ACO restart 1,11.784,ok,
24093283,3,6665.0,3999.0,5,30,86,75,3929.0,10,learned ACO restart 2,10.264,ok,
24093282,2,8031.0,4818.6,5,30,75,63,4681.0,10,learned ACO restart 1,10.569,ok,
24093284,4,11079.0,6647.4,5,30,106,94,6605.0,10,learned ACO restart 1,11.825,ok,
24093285,2,7139.0,4283.4,5,30,91,82,4246.0,9,learned ACO restart 1,11.854,ok,
24093286,3,9013.0,5407.8,5,30,101,88,5310.0,9,learned ACO restart 2,11.992,ok,
24093287,4,15764.0,9458.4,5,30,78,70,9032.0,9,learned ACO restart 1,13.536,ok,
24093288,2,7686.0,4611.6,5,30,84,74,4478.0,8,learned ACO restart 1,10.991,ok,
24093289,3,8712.0,5227.2,5,30,93,80,5035.0,11,learned ACO restart 1,11.895,ok,
24093290,4,13754.0,8252.4,5,30,87,77,8201.0,10,learned ACO restart 1,13.12,ok,
24093294,2,8127.0,4876.2,5,30,92,82,4874.0,9,learned ACO restart 2,10.896,ok,
24093291,2,5952.0,3571.2,5,30,93,85,3553.0,11,learned ACO restart 2,14.058,ok,
24093293,4,19793.0,11875.8,5,30,82,67,11420.0,10,learned ACO restart 1,12.959,ok,
24093292,3,6798.0,4078.8,5,30,88,78,4023.0,10,learned ACO restart 1,14.529,ok,
24093295,3,6919.0,4151.4,5,30,90,77,4059.0,10,learned ACO restart 3,12.429,ok,
24093296,4,11979.0,7187.4,5,30,82,74,7009.0,12,learned ACO restart 1,13.044,ok,
24093297,2,6242.0,3745.2,5,30,98,86,3745.0,8,learned ACO restart 1,12.582,ok,
24093298,3,6297.0,3778.2,5,30,91,75,3683.0,9,learned ACO restart 3,11.275,ok,
24093300,2,7633.0,4579.8,5,30,92,79,4541.0,9,learned ACO restart 2,11.271,ok,
24093301,3,13680.0,8208.0,5,30,90,83,7998.0,11,learned ACO restart 2,12.561,ok,
24093299,4,10390.0,6234.0,5,30,114,98,6117.0,9,learned ACO restart 1,14.043,ok,
24093302,4,12069.0,7241.4,5,30,92,80,7060.0,11,learned ACO restart 1,13.632,ok,
24093304,3,7252.0,4351.2,5,30,89,74,4169.0,10,learned ACO restart 1,10.524,ok,
24093303,2,7110.0,4266.0,5,30,99,86,4155.0,9,learned ACO restart 2,14.411,ok,
24093306,2,6603.0,3961.8,5,30,91,78,3820.0,10,learned ACO restart 1,11.537,ok,
24093305,4,12030.0,7218.0,5,30,84,71,7058.0,9,learned ACO restart 2,13.659,ok,
24093307,3,9056.0,5433.6,5,30,84,72,5339.0,10,learned ACO restart 1,11.841,ok,
24093309,2,8491.0,5094.6,5,30,89,82,5089.0,9,learned ACO restart 3,12.137,ok,
24093308,4,11961.0,7176.6,5,30,98,87,7153.0,9,learned ACO restart 2,13.112,ok,
24093310,3,12206.0,7323.6,5,30,98,82,7244.0,10,learned ACO restart 1,12.957,ok,
24093311,4,15528.0,9316.8,5,30,94,81,9148.0,10,learned ACO restart 1,12.827,ok,
24093312,2,7905.0,4743.0,5,30,84,77,4648.0,11,learned ACO restart 2,13.417,ok,
24093313,3,6687.0,4012.2,5,30,100,84,3972.0,10,learned ACO restart 2,11.937,ok,
24093315,2,6829.0,4097.4,5,30,80,71,4008.0,10,learned ACO restart 1,13.035,ok,
24093314,4,17408.0,10444.8,5,30,113,95,10011.0,11,learned ACO restart 1,13.558,ok,
24093316,3,8228.0,4936.8,5,30,86,74,4814.0,10,learned ACO restart 1,13.071,ok,
24093317,4,11420.0,6852.0,5,30,90,82,6595.0,12,learned ACO restart 1,13.616,ok,
24093318,2,7071.0,4242.6,5,30,75,67,4220.0,11,learned ACO restart 1,12.675,ok,
24093319,3,7415.0,4449.0,5,30,95,82,4400.0,11,learned ACO restart 1,13.817,ok,
24093321,2,9007.0,5404.2,5,30,87,77,4915.0,10,learned ACO restart 1,12.806,ok,
24093322,3,7020.0,4212.0,5,30,88,81,4208.0,9,learned ACO restart 3,12.046,ok,
24093320,4,12350.0,7410.0,5,30,86,76,7329.0,13,learned ACO restart 1,16.177,ok,
24093323,4,13146.0,7887.6,5,30,85,75,7440.0,12,learned ACO restart 2,15.857,ok,
24093324,2,6080.0,3648.0,5,30,82,78,3568.0,10,learned ACO restart 3,14.201,ok,
24093326,4,14160.0,8496.0,5,30,89,79,8247.0,9,learned ACO restart 1,13.316,ok,
24093325,3,13088.0,7852.8,5,30,97,83,7775.0,12,learned ACO restart 3,14.609,ok,
